id,date,time,location,event_type,nature,narrative
20181,2024-12-01,09:12,"MIDLAND, TEXAS",Caught or wedged between objects  nonrunning,"Amputations, avulsions, enucleations  unspecified","A rig was running in a hole with 2-3/8 drill string. The crew was utilizing the swivel to make up connections, and had modified the grabbing arm on the laydown machine utilizing dies on the grabbing arm. The drill string was not large enough for the grabbing arm to bite down on. The crew then used…"
20182,2024-12-03,01:48,"PASCAGOULA, MISSISSIPPI",Other fall to lower level  6 to 30 feet,Fractures,"An employee was refilling the cab heater on a mobile crane. While beginning to pour diesel fuel into the upper cab heater tank, the employee fell 79 inches from the crane to the ground. The employee sustained a broken pelvis that required surgery."
20183,2024-12-04,11:31,"SANDUSKY, OHIO",Struck by running powered equipment  unspecified,"Amputations, avulsions, enucleations  unspecified","An employee was moving an air bar onto a winder when he was caught between the air-release mechanism and the air bar, resulting in a left index fingertip amputation."
20184,2024-12-04,11:48,"CRESTLINE, OHIO","Struck by running powered equipment  during maintenance, cleaning, testing","Amputations, avulsions, enucleations  unspecified",An employee was performing maintenance on a pre-wash cold end washer. As he pushed down on the assembly so that it could be fastened in place his hand slipped downward into a chain and sprocket on the washer's conveyor. The equipment was not de-energized or locked out. His right index finger was ca…
20185,2024-12-05,11:42,"WESLEY CHAPEL, FLORIDA",Other fall to lower level  6 to 30 feet,Fractures,"While an employee was crossing over the span to get materials, he fell approximately 12 feet to a lower level and fractured his right wrist."
20186,2024-12-06,19:58,"SAN ANTONIO, TEXAS",Other fall to lower level  unspecified,Fractures,"An employee was descending a ladder when they misstepped and fell to the floor, resulting in a fractured ankle."
20187,2024-12-07,11:40,"DOVER, FLORIDA","Struck by running powered equipment  during maintenance, cleaning, testing",Amputations involving bone loss,An employee was washing plastic tubes in the tank washroom near a belt and pulley system when his hand became caught in the rotating metallic parts of the system. The employee sustained the amputation of two fingers and lacerations to two fingers. The belt and pulley system was unguarded at the tim…
20188,2024-12-08,13:17,"MINOT, NORTH DAKOTA",Struck by object dropped by person,Amputations involving bone loss,"Two employees were lifting a hydraulic tank when the tank slipped and crushed the injured employee's right index finger against a trailer, resulting in an amputation of the finger and hospitalization."
20189,2024-12-08,14:56,"BRISTOL, PENNSYLVANIA",Fall on same level due to slip or trip,Fractures,"While walking an employee tripped and fell, resulting in a compound fracture to their right arm."
20190,2024-12-08,15:03,"KIRBYVILLE, TEXAS",Other fall to lower level  unspecified,Fractures,An employee was on a ladder putting fuel pumps on a shelf when they lost their balance and fell to the floor. They sustained a right hip fracture.
20191,2024-12-12,05:54,"AURORA, OHIO","Struck by running powered equipment  during maintenance, cleaning, testing",Multiple severe wounds and internal injuries,"An employee set up the studs on a machine to prepare to run an order. The part was not level, causing the ram to bind during retraction. The employee's left glove got caught on the ram. This resulted in a thumb tip amputation and their left index finger was broken in multiple places."
20192,2024-12-13,06:46,"HOUSTON, TEXAS",Pedestrian struck by vehicle in nonroadway area  unspecified,Fractures,"An employee was walking near a freight dock when they were struck and run over by an 18-wheeler truck. The employee sustained a fractured foot, a fractured pelvis, and road rash."
20193,2024-12-14,03:17,"CROWLEY, TEXAS",Exposure to electric arc,"Electrocution, electric shock","An employee was monitoring a concrete pour from a commercial vehicle. The boom of the concrete pump truck contacted a 14.4 kV overhead powerline, causing an electric arc to travel back to the employee. The employee sustained an electric shock."
20194,2024-12-15,18:11,"ALLENTOWN, PENNSYLVANIA","Slip, trip, stumble while stepping between levels",Fractures,"An employee was exiting a school when he turned and fell off the curb, fracturing his hip."
20195,2024-12-16,22:48,"TAMPA, FLORIDA",Ingestion of harmful substance,"Multiple effects of poison, toxic, or allergenic exposure","An employee was handed a water bottle and drank liquid from it thinking the liquid was water. It was later determined that the bottle was filled with acetone. The employee began bleeding from his mouth, became ill, and was hospitalized."
20196,2024-12-19,15:22,"GORHAM, MAINE",Pedestrian struck by vehicle in nonroadway area  unspecified,Fractures,"An employee was walking to their vehicle to take a break when they were struck by a customer's car, resulting in a fractured lower right leg."
20197,2024-12-21,16:31,"SPRING, TEXAS","Struck by falling part of vehicle or machine, still attached",Amputations involving bone loss,"An employee was driving the water truck and spraying water when a third-party dump truck driver flagged him down asking for help. The dump truck driver's tailgate was in a bind with the screen that covers the truck bed. When the employee got up on the truck to help, the tailgate released and slamme…"
20198,2024-12-24,12:32,"NORTH SYRACUSE, NEW YORK",Struck by running powered equipment  unspecified,"Amputations, avulsions, enucleations  unspecified",An employee was using a router when they sustained a fingertip amputation.
20199,2024-12-27,02:34,"SAINT PETERSBURG, FLORIDA",Exposure to electric arc,Electrical burns  any degree,"An employee was de-energizing a stand-alone three-phase 3,000-kVA transformer. The employee had opened a bay on the switchgear and removed the barrier board covering a 200-amp switch. The employee then used a 6-foot insulated work stick to open the fuse door. As soon as the top of the fuse door sep…"
